-32 -66 -64 -71 -49 88 -27 -98 -59 -86 -54 -91 -7 -39 -96 -22 37 -50 -8 -76 -40 -3 -18 -35 57 -31 -12 -95 -72 -44 -63 -82 -99 -58 -100 -87 -68 -11 -43 -26 -75 -4 -36 -23 -90 -79 -19 -62 -51 2 -83 -94 -15 -30 -47 -42 -5 -84 -10 -69 -25 81 -20 -52 -93 -29 -74 -78 -89 -46 -1 -61 67 -14 -21 -16 -33 -48 -85 -38 -9 -70 55 -53 -97 -80 -65 -6 -34 -13 -41 -24 -56 -77 -92 -17 -60 -45 -28 -73
-32 -66 -64 -71 -49 -27 -98 -59 -86 -54 -91 -7 -39 -96 -81 -22 -50 -8 -76 -40 20 -3 -18 -35 -31 -12 -67 -95 -72 -44 -63 -82 -99 -58 -100 -87 -68 -43 -26 21 -4 -36 -23 -55 -90 -79 -19 -51 -83 -94 -15 -30 -47 -42 -5 -84 -10 -69 -25 -37 -52 -93 -29 -74 -57 48 -78 -89 -46 -1 -61 -14 11 -16 -33 -85 -38 -9 -70 -53 75 -97 -80 -65 -6 -34 -13 -41 -24 -56 -77 -92 -2 -17 -60 -45 -28 62 -73 -88
-32 -66 -71 -49 -27 -98 -59 -86 -54 -91 42 -7 -39 -96 -81 -22 -50 -8 -40 -3 -18 -35 -31 -12 -67 -95 -72 -44 -63 -82 -99 -58 -100 -68 -11 -43 -26 -4 -36 -23 -55 -90 -79 -19 -62 -51 -83 -94 -15 -30 45 64 17 -47 -5 -84 -10 -69 -25 -20 76 -37 -52 -93 -29 -74 -57 -78 -89 -46 -1 -61 -14 -21 -16 -33 -48 87 -85 -38 -9 -70 -53 75 -97 -80 -65 -6 -34 -13 -41 -24 -56 -77 -92 -2 -60 -28 -73 -88
-32 -66 -64 -71 -49 -27 -98 -59 -86 -54 -91 -7 -39 -96 -22 -50 -8 -40 -3 -18 -35 -31 -12 84 -67 -95 -72 -44 -63 -82 -99 -58 -100 -87 -68 -11 -43 -75 -4 -36 -23 -55 -90 -79 -19 -62 -51 -83 -94 -15 -30 45 17 -47 -42 -5 -10 -69 -25 81 -20 76 -37 -52 -93 -29 -74 -57 -78 -89 -46 -1 -61 -14 -21 -16 -33 -48 -85 -38 -9 -70 26 -53 -97 -80 -65 -6 -34 -13 -41 -24 -56 -77 -92 -2 -60 -28 -73 -88
-66 -64 -71 -49 -27 -98 -59 -86 -54 -91 -7 -39 -96 -81 -22 -50 -8 -76 -40 -35 -31 -12 -67 -95 -72 -44 -63 -82 -99 -58 -100 -87 -68 -11 -43 -26 21 -75 -4 -36 -23 -55 -90 -79 -19 -62 -51 -83 -94 -15 32 17 -47 -42 -5 -84 -10 -69 -25 -20 -37 -52 -93 -29 -74 3 -57 -78 -89 18 -46 -1 -61 -14 -16 -33 -48 -85 -38 -9 -70 -53 -97 -80 -65 -6 -34 -13 30 -41 -24 -56 -77 -92 -2 -60 -45 -28 -73 -88
-32 -66 -64 -71 -49 -27 -98 -59 -86 -54 -91 -7 -39 -96 -81 -22 37 -50 -8 -76 -40 46 -35 -31 -12 -67 -95 -72 -44 -63 -82 -99 -58 -100 -87 -68 -11 -43 -26 33 -75 -4 -36 -23 -55 -90 -79 -19 -62 -51 -83 -94 -15 -30 -47 -42 -5 -84 -10 -69 -25 -20 -52 -93 -29 -74 3 -57 -78 -89 18 -1 -61 -14 -21 -16 -48 -85 -38 -9 -70 -53 -97 -80 -65 -6 -34 -13 -41 -24 -56 -77 -92 -2 -17 -60 -45 -28 -73 -88
-32 -66 -64 -71 -49 -27 -98 -59 -86 -54 -91 -7 -39 -96 -81 -22 -50 -8 -40 93 -3 -18 -35 -31 -12 -67 -95 61 -44 -63 -82 -99 -58 -100 -87 -68 -11 -43 -26 -75 -4 -36 -23 -55 -90 -79 -19 -62 -51 73 -83 -94 -15 -30 -47 -42 -5 -84 -10 -69 -25 -20 76 -37 -52 -29 -74 -57 -78 -89 -46 -1 -14 -21 72 -16 -33 -48 -85 -38 -9 -70 -53 -97 -80 -65 -6 -34 -13 -41 -24 -56 -77 -92 -2 -17 -60 -45 -28 -88
-32 -66 -64 -71 -49 88 -27 -98 -86 -54 -91 -7 -39 -96 -81 -22 -50 -8 -76 -40 20 -3 -18 -35 -31 -12 -67 -95 -72 -44 -63 -82 -99 -58 -100 -87 -68 -11 -26 21 -75 -4 -36 -23 -55 -90 -79 -19 -62 -51 -83 -94 -15 -47 -42 -5 59 -84 -10 -69 -25 -37 -52 -93 -29 -74 -57 -78 -89 -46 -1 -61 -14 -16 -33 43 -48 -85 -38 -9 -70 -53 -97 -80 -65 -6 -34 -13 30 -41 -24 -56 -77 -92 -2 -17 -60 -45 -28 -73
-32 -66 -64 -71 -49 -27 -98 -59 -86 -54 -91 -7 -39 -96 -22 37 -50 -8 -76 -40 -3 -18 -35 -31 -12 -95 -72 -44 -63 -82 -58 -100 -87 -68 -11 -43 -26 -75 -4 -36 -23 9 -55 -90 -79 -19 -62 -51 -83 -94 -15 -30 -47 -42 -5 -84 -10 -69 -25 81 -20 -52 -93 -29 -74 -57 -78 -89 -46 -1 -61 67 -14 -21 -16 -33 -48 99 -85 -38 -70 -53 -97 -80 -65 -6 -34 -13 -41 -24 -56 -77 -92 -2 -17 -60 -45 -28 -73 -88
-32 -66 -64 -71 -49 -98 -59 -86 -54 -91 -7 -39 -96 -81 -22 -50 -8 -76 -40 -3 -18 -35 -31 -95 -72 -44 -63 -82 -99 -58 -100 -87 -68 -43 -26 21 -75 -4 -36 -23 -55 -90 -19 -62 -51 -83 -94 -15 -30 -47 -42 -5 27 12 -84 -10 -69 -25 -20 -37 -52 -93 -29 -74 -57 48 -78 -89 -46 -1 -61 67 -14 11 -16 -33 -85 -38 -9 -70 -53 -97 -80 -65 -6 -34 -13 -41 -24 79 -56 -77 -92 -2 -17 -60 -45 -28 -73 -88
